kanji,strokes,frequency,grade,jlpt,parts,radicals,on_readings,kun_readings,on_readings_compounds,kun_readings_compounds
為,9,831,junior high,N1,"{'ユ': 'http:////jisho.org/search/%E3%83%A6%20%23kanji', '丶': 'http:////jisho.org/search/%E4%B8%B6%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '并': 'http:////jisho.org/search/%E5%B9%B6%20%23kanji', '勹': 'http:////jisho.org/search/%E5%8B%B9%20%23kanji', '杰': 'http:////jisho.org/search/%E6%9D%B0%20%23kanji'}",{'爪 (爫)': 'claw'},{'イ': 'http:////jisho.org/search/%E7%82%BA%20%E3%81%84'},"{'ため': 'http:////jisho.org/search/%E7%82%BA%20%E3%81%9F%E3%82%81', 'な.る': 'http:////jisho.org/search/%E7%82%BA%20%E3%81%AA%E3%82%8B', 'な.す': 'http:////jisho.org/search/%E7%82%BA%20%E3%81%AA%E3%81%99', 'す.る': 'http:////jisho.org/search/%E7%82%BA%20%E3%81%99%E3%82%8B', 'たり': 'http:////jisho.org/search/%E7%82%BA%20%E3%81%9F%E3%82%8A', 'つく.る': 'http:////jisho.org/search/%E7%82%BA%20%E3%81%A4%E3%81%8F%E3%82%8B', 'なり': 'http:////jisho.org/search/%E7%82%BA%20%E3%81%AA%E3%82%8A'}","['為政者  【イセイシャ】  statesman, administrator, politician, policymaker', '為公会  【イコウカイ】  Iko-kai (faction of the LDP)', '人為  【ジンイ】  human work, human agency, art, artificiality', '営為  【エイイ】  business, occupation']","['為  【ため】  good, advantage, benefit, welfare, sake, purpose, objective, aim, consequence, result, effect, affecting, regarding, concerning', ""為に  【ために】  for, for the sake of, to one's advantage, in favor of, in favour of, on behalf of, because of, as a result of"", '外為  【がいため】  foreign exchange', ""念のため  【ねんのため】  (just) making sure, just to be sure, just in case, for caution's sake"", '成る  【なる】  to become, to get, to grow, to be, to reach, to attain, to result in, to prove to be, to consist of, to be composed of, to succeed, to be complete, to change into, to be exchanged for, to play a role, to be promoted, to do ...', 'なる様になる  【なるようになる】  let nature take its course, what will be will be', '為す  【なす】  to build up, to establish, to form, to become (a state), to accomplish, to achieve, to succeed in, to change into, to do, to perform, to intend to, to attempt, to try', ""なす術もない  【なすすべもない】  having no choice, at a loss for what to do, at one's wits' end, at one's wit's end"", '為る  【する】  to do, to carry out, to perform, to cause to become, to make (into), to turn (into), to serve as, to act as, to work as, to wear (clothes, a facial expression, etc.), to judge as being, to view as being, to think of as, to treat as, to use as, to decide on, to choose, to be sensed (of a smell, noise, etc.), to be (in a state, condition, etc.), to be worth, to cost, to pass (of time), to elapse, to place, or raise, person A to a post or status B, to transform A to B, to make A into B, to exchange A for B, to make use of A for B, to view A as B, to handle A as if it were B, to feel A about B, verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs""), creates a humble verb (after a noun prefixed with ""o"" or ""go""), to be just about to, to be just starting to, to try to, to attempt to', '成り  【なり】  being promoted', 'なり手  【なりて】  person willing to take on a role, willing candidate']"
畏,9,2389,junior high,,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji', '衣': 'http:////jisho.org/search/%E8%A1%A3%20%23kanji'}",{'田': 'field'},{'イ': 'http:////jisho.org/search/%E7%95%8F%20%E3%81%84'},"{'おそ.れる': 'http:////jisho.org/search/%E7%95%8F%20%E3%81%8A%E3%81%9D%E3%82%8C%E3%82%8B', 'かしこま.る': 'http:////jisho.org/search/%E7%95%8F%20%E3%81%8B%E3%81%97%E3%81%93%E3%81%BE%E3%82%8B', 'かしこ': 'http:////jisho.org/search/%E7%95%8F%20%E3%81%8B%E3%81%97%E3%81%93', 'かしこ.し': 'http:////jisho.org/search/%E7%95%8F%20%E3%81%8B%E3%81%97%E3%81%93%E3%81%97'}","['畏怖  【イフ】  awe, fear, fright', '畏敬  【イケイ】  reverence, awe, respect', '敬畏  【ケイイ】  awe, reverence, fear (e.g. of authority)', '後生可畏  【コウセイカイ】  the young should be regarded with respect']","['恐れる  【おそれる】  to fear, to be afraid of', '畏まる  【かしこまる】  to obey respectfully, to humble oneself, to sit straight (upright, respectfully, attentively)', '畏  【かしこ】  yours sincerely, respectfully yours', '賢い  【かしこい】  wise, clever, smart']"
胃,9,1647,grade 4,N2,"{'月': 'http:////jisho.org/search/%E6%9C%88%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji'}",{'肉 (⺼)': 'meat'},,{'イ': 'http:////jisho.org/search/%E8%83%83%20%E3%81%84'},"['胃  【イ】  stomach, Chinese ""stomach"" constellation (one of the 28 mansions)', '胃腸  【イチョウ】  stomach and intestines, gastrointestinal tract, digestive organs', 'しわ胃  【シワイ】  abomasum', '葉胃  【ヨウイ】  omasum, psalterium, third compartment of the stomach in ruminants']",
尉,11,2007,junior high,N1,"{'二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '寸': 'http:////jisho.org/search/%E5%AF%B8%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '尸': 'http:////jisho.org/search/%E5%B0%B8%20%23kanji', '示': 'http:////jisho.org/search/%E7%A4%BA%20%23kanji'}","{'寸': 'thumb, inch'}",,"{'イ': 'http:////jisho.org/search/%E5%B0%89%20%E3%81%84', 'ジョウ': 'http:////jisho.org/search/%E5%B0%89%20%E3%81%98%E3%82%87%E3%81%86'}","['尉官  【イカン】  officer below the rank of major, company officer', '中尉  【チュウイ】  first lieutenant, lieutenant junior grade', '少尉  【ショウイ】  second lieutenant, sublieutenant, ensign', '尉  【ジョウ】  inspector (third highest of the four administrative ranks of the ritsuryo system), (noh) old man, white ash (of charcoal)', '尉鶲  【ジョウビタキ】  Daurian redstart (Phoenicurus auroreus)', '黒色尉  【コクシキジョウ】  Old Black Joe (a noh mask)']",
異,11,631,grade 6,N1,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', 'ハ': 'http:////jisho.org/search/%E3%83%8F%20%23kanji', '井': 'http:////jisho.org/search/%E4%BA%95%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji'}",{'田': 'field'},{'イ': 'http:////jisho.org/search/%E7%95%B0%20%E3%81%84'},"{'こと': 'http:////jisho.org/search/%E7%95%B0%20%E3%81%93%E3%81%A8', 'こと.なる': 'http:////jisho.org/search/%E7%95%B0%20%E3%81%93%E3%81%A8%E3%81%AA%E3%82%8B', 'け': 'http:////jisho.org/search/%E7%95%B0%20%E3%81%91'}","['異  【イ】  difference (of opinion), strange, odd, unusual, different', '異議  【イギ】  objection, dissent, protest', '天変地異  【テンペンチイ】  natural disaster, cataclysm', '小異  【ショウイ】  minor differences']","['異  【こと】  difference (from one another), different thing, other, unusual, extraordinary', '異なる  【ことなる】  to differ, to vary, to disagree', '異なる  【ことなる】  to differ, to vary, to disagree', '異  【こと】  difference (from one another), different thing, other, unusual, extraordinary', '異な  【けな】  exceptional, praiseworthy, laudable']"
移,11,448,grade 5,N2,"{'夕': 'http:////jisho.org/search/%E5%A4%95%20%23kanji', '禾': 'http:////jisho.org/search/%E7%A6%BE%20%23kanji'}",{'禾': 'grain'},{'イ': 'http:////jisho.org/search/%E7%A7%BB%20%E3%81%84'},"{'うつ.る': 'http:////jisho.org/search/%E7%A7%BB%20%E3%81%86%E3%81%A4%E3%82%8B', 'うつ.す': 'http:////jisho.org/search/%E7%A7%BB%20%E3%81%86%E3%81%A4%E3%81%99'}","['移行  【イコウ】  switching over to, migration, transition', '移管  【イカン】  transfer of control', '転移  【テンイ】  moving (location, with the times, etc.), change, transition, metastasis, spread, transition (e.g phase transition), transfer (of learning), transference (in psychoanalysis)', '変移  【ヘンイ】  change, alteration, transmutation, mutation']","['移る  【うつる】  to move (house), to transfer (department), to change the target of interest or concern, to elapse (passage of time), to be permeated by a colour or scent, to be infected, to be contagious, to spread (as in fire)', ""移す  【うつす】  to change, to swap, to substitute, to transfer, to change the object of one's interest or focus, to spend or take time, to infect, to permeate something with the smell or colour of something, to move on to the next or different stage of (a plan, etc.)""]"
萎,11,,junior high,,"{'女': 'http:////jisho.org/search/%E5%A5%B3%20%23kanji', '艾': 'http:////jisho.org/search/%E8%89%BE%20%23kanji', '禾': 'http:////jisho.org/search/%E7%A6%BE%20%23kanji'}",{'艸 (艹)': 'grass'},{'イ': 'http:////jisho.org/search/%E8%90%8E%20%E3%81%84'},"{'な': 'http:////jisho.org/search/%E8%90%8E%20%E3%81%AA', 'しお.れる': 'http:////jisho.org/search/%E8%90%8E%20%E3%81%97%E3%81%8A%E3%82%8C%E3%82%8B', 'しな.びる': 'http:////jisho.org/search/%E8%90%8E%20%E3%81%97%E3%81%AA%E3%81%B3%E3%82%8B', 'しぼ.む': 'http:////jisho.org/search/%E8%90%8E%20%E3%81%97%E3%81%BC%E3%82%80', 'な.える': 'http:////jisho.org/search/%E8%90%8E%20%E3%81%AA%E3%81%88%E3%82%8B'}","['萎縮  【イシュク】  withering, shrivelling, shrinking, atrophy, contraction', '萎黄病  【イオウビョウ】  chlorosis, greensickness', '陰萎  【インイ】  impotence (sexual), erectile impotence']","['萎える  【なえる】  to lose strength, to become weak, to disappear (of energy, drive, etc.), to wither, to droop, to wilt', '萎え落ち  【なえおち】  disconnecting from an online game because one is losing', '萎れる  【しおれる】  to wither, to wilt, to droop, to fade, to be dejected, to be disheartened, to be depressed, to be crestfallen', '萎びる  【しなびる】  to shrivel (e.g. cut vegetables, skin), to wilt, to fade, to wither, to be wizened', ""萎む  【しぼむ】  to wither (of flowers, dreams, etc.), to wilt, to droop, to shrivel, to fade (away), to sag, to deflate, to lose one's willpower, to turn off"", '萎える  【なえる】  to lose strength, to become weak, to disappear (of energy, drive, etc.), to wither, to droop, to wilt']"
偉,12,1639,junior high,N3,"{'化': 'http:////jisho.org/search/%E5%8C%96%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '韋': 'http:////jisho.org/search/%E9%9F%8B%20%23kanji'}","{'人 (亻)': 'man, human'}",{'イ': 'http:////jisho.org/search/%E5%81%89%20%E3%81%84'},{'えら.い': 'http:////jisho.org/search/%E5%81%89%20%E3%81%88%E3%82%89%E3%81%84'},"['偉  【イ】  greatness', '偉業  【イギョウ】  great achievement, great feat, great work, great undertaking', '魁偉  【カイイ】  brawny, muscular, impressive, gigantic', '容貌魁偉  【ヨウボウカイイ】  (a man) having a commanding face and a powerful physique']","['偉い  【えらい】  great, excellent, admirable, remarkable, distinguished, important, celebrated, famous, eminent, very troublesome, awful, terrible, tiring, tough, very, extremely', '偉いこっちゃ  【えらいこっちゃ】  What are we going to do?, uh-oh, oh crap']"
椅,12,2245,junior high,,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '亅': 'http:////jisho.org/search/%E4%BA%85%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '大': 'http:////jisho.org/search/%E5%A4%A7%20%23kanji', '木': 'http:////jisho.org/search/%E6%9C%A8%20%23kanji'}",{'木': 'tree'},,{'イ': 'http:////jisho.org/search/%E6%A4%85%20%E3%81%84'},"['椅子  【イス】  chair, stool, post, office, position', '倚子  【イシ】  traditional square chair with armrests and a torii-shaped back (used by the emperor, etc. during ceremonies)']",
彙,13,,junior high,,"{'冖': 'http:////jisho.org/search/%E5%86%96%20%23kanji', 'ヨ': 'http:////jisho.org/search/%E3%83%A8%20%23kanji', '彑': 'http:////jisho.org/search/%E5%BD%91%20%23kanji', '木': 'http:////jisho.org/search/%E6%9C%A8%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji'}",{'彐 (彑)': 'pig snout'},{'イ': 'http:////jisho.org/search/%E5%BD%99%20%E3%81%84'},{'はりねずみ': 'http:////jisho.org/search/%E5%BD%99%20%E3%81%AF%E3%82%8A%E3%81%AD%E3%81%9A%E3%81%BF'},"['彙  【イ】  kind, sort, type', '彙報  【イホウ】  bulletin, collection of reports', '理解語彙  【リカイゴイ】  passive vocabulary', '表現語彙  【ヒョウゲンゴイ】  active vocabulary']",
意,13,99,grade 3,N4,"{'心': 'http:////jisho.org/search/%E5%BF%83%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '立': 'http:////jisho.org/search/%E7%AB%8B%20%23kanji', '音': 'http:////jisho.org/search/%E9%9F%B3%20%23kanji'}","{'心 (忄, ⺗)': 'heart'}",,{'イ': 'http:////jisho.org/search/%E6%84%8F%20%E3%81%84'},"['意  【イ】  feelings, thoughts, meaning', '意外  【イガイ】  unexpected, surprising', '賛意  【サンイ】  approval, assent', '総意  【ソウイ】  consensus, collective will, collective opinion']",
違,13,344,junior high,N3,"{'込': 'http:////jisho.org/search/%E8%BE%BC%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '韋': 'http:////jisho.org/search/%E9%9F%8B%20%23kanji'}","{'辵 (辶, ⻌, ⻍)': 'walk'}",{'イ': 'http:////jisho.org/search/%E9%81%95%20%E3%81%84'},"{'ちが.う': 'http:////jisho.org/search/%E9%81%95%20%E3%81%A1%E3%81%8C%E3%81%86', 'ちが.い': 'http:////jisho.org/search/%E9%81%95%20%E3%81%A1%E3%81%8C%E3%81%84', 'ちが.える': 'http:////jisho.org/search/%E9%81%95%20%E3%81%A1%E3%81%8C%E3%81%88%E3%82%8B', '-ちが.える': 'http:////jisho.org/search/%E9%81%95%20%E3%81%A1%E3%81%8C%E3%81%88%E3%82%8B', 'たが.う': 'http:////jisho.org/search/%E9%81%95%20%E3%81%9F%E3%81%8C%E3%81%86', 'たが.える': 'http:////jisho.org/search/%E9%81%95%20%E3%81%9F%E3%81%8C%E3%81%88%E3%82%8B'}","['違反  【イハン】  violation, offense, offence, breach, transgression, infringement, contravention', '違憲  【イケン】  unconstitutionality', '格段の相違  【カクダンノソウイ】  marked difference', '非違  【ヒイ】  illegality']","[""違う  【ちがう】  to differ (from), to vary, to not be in the usual condition, to not match the correct (answer, etc.), to be different from promised, isn't it?, wasn't it?"", '違くて  【ちがくて】  different (from), not the same (as)', '違い  【ちがい】  difference, distinction, discrepancy, mistake, error', '違いない  【ちがいない】  sure, no mistaking it, for certain, without doubt', ""違える  【ちがえる】  to change, to alter, to mistake, to make a mistake, to fail to keep (e.g. one's promise), to sprain (a muscle), to dislocate (e.g. one's neck)"", '違う  【たがう】  to differ, to be different, to run counter to, to change (into something out of the ordinary)', ""違える  【たがえる】  to change, to alter, to run counter to, to go against, to break (one's word), to make a mistake (in), to err""]"
維,14,643,junior high,N1,"{'小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '幺': 'http:////jisho.org/search/%E5%B9%BA%20%23kanji', '糸': 'http:////jisho.org/search/%E7%B3%B8%20%23kanji', '隹': 'http:////jisho.org/search/%E9%9A%B9%20%23kanji'}",{'糸 (糹)': 'silk'},,{'イ': 'http:////jisho.org/search/%E7%B6%AD%20%E3%81%84'},"['維持  【イジ】  maintenance, preservation, improvement', '維新  【イシン】  reformation, revolution, renewal, Meiji Restoration', '化学繊維  【カガクセンイ】  synthetic fiber, synthetic fibre, chemical fiber, chemical fibre', '合成繊維  【ゴウセイセンイ】  synthetic fibre, synthetic fiber']",
慰,15,1158,junior high,N1,"{'二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '寸': 'http:////jisho.org/search/%E5%AF%B8%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '尸': 'http:////jisho.org/search/%E5%B0%B8%20%23kanji', '心': 'http:////jisho.org/search/%E5%BF%83%20%23kanji', '示': 'http:////jisho.org/search/%E7%A4%BA%20%23kanji'}","{'心 (忄, ⺗)': 'heart'}",{'イ': 'http:////jisho.org/search/%E6%85%B0%20%E3%81%84'},"{'なぐさ.める': 'http:////jisho.org/search/%E6%85%B0%20%E3%81%AA%E3%81%90%E3%81%95%E3%82%81%E3%82%8B', 'なぐさ.む': 'http:////jisho.org/search/%E6%85%B0%20%E3%81%AA%E3%81%90%E3%81%95%E3%82%80'}","['慰謝  【イシャ】  consolation', '慰安  【イアン】  solace, relaxation', '弔意  【チョウイ】  condolence, sympathy, mourning', '少慰  【ショウイ】  ensign (navy), second lieutenant (marine and army)']","['慰める  【なぐさめる】  to comfort, to console, to amuse', ""慰む  【なぐさむ】  to feel comforted, to be in good spirits, to feel better, to forget one's worries, to trifle with, to fool around with""]"
遺,15,647,grade 6,N1,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', 'ハ': 'http:////jisho.org/search/%E3%83%8F%20%23kanji', '込': 'http:////jisho.org/search/%E8%BE%BC%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '目': 'http:////jisho.org/search/%E7%9B%AE%20%23kanji', '貝': 'http:////jisho.org/search/%E8%B2%9D%20%23kanji'}","{'辵 (辶, ⻌, ⻍)': 'walk'}","{'イ': 'http:////jisho.org/search/%E9%81%BA%20%E3%81%84', 'ユイ': 'http:////jisho.org/search/%E9%81%BA%20%E3%82%86%E3%81%84'}",{'のこ.す': 'http:////jisho.org/search/%E9%81%BA%20%E3%81%AE%E3%81%93%E3%81%99'},"['遺憾  【イカン】  regrettable, unsatisfactory, deplorable, lamentable', '遺影  【イエイ】  portrait of deceased person', '拾遺  【シュウイ】  gleaning, gleanings', '補遺  【ホイ】  supplement, addendum, appendix', '遺言  【ユイゴン】  will, testament, last request', '遺骸  【イガイ】  remains, corpse, body']","['残す  【のこす】  to leave (behind, over), to bequeath, to save, to reserve']"
緯,16,1430,junior high,N1,"{'口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '小': 'http:////jisho.org/search/%E5%B0%8F%20%23kanji', '幺': 'http:////jisho.org/search/%E5%B9%BA%20%23kanji', '糸': 'http:////jisho.org/search/%E7%B3%B8%20%23kanji', '韋': 'http:////jisho.org/search/%E9%9F%8B%20%23kanji'}",{'糸 (糹)': 'silk'},{'イ': 'http:////jisho.org/search/%E7%B7%AF%20%E3%81%84'},"{'よこいと': 'http:////jisho.org/search/%E7%B7%AF%20%E3%82%88%E3%81%93%E3%81%84%E3%81%A8', 'ぬき': 'http:////jisho.org/search/%E7%B7%AF%20%E3%81%AC%E3%81%8D'}","['横糸  【ヨコイト】  weft, woof (crosswise threads on a loom)', '緯度  【イド】  latitude (nav.)', '北緯  【ホクイ】  north latitude', '南緯  【ナンイ】  southern latitude']","['横糸  【よこいと】  weft, woof (crosswise threads on a loom)', '横糸  【よこいと】  weft, woof (crosswise threads on a loom)']"
